Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Низкий уровень сигнала GSM,ASUPR,2022-08-30 19:06:20.000000,2022-09-04 12:04:29.366000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Недогрев ГВС,EDC,2022-09-14 18:22:44.000000,2022-09-14 21:57:37.268000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Недогрев ГВС,EDC,2022-08-31 18:43:40.000000,2022-08-31 20:49:42.415000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Повреждение элементов входной двери,MGI,2022-09-29 17:41:01.814000,2022-09-30 12:18:20.493000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Протечка в подъезде,EDC,2022-08-27 09:14:20.000000,2022-08-27 10:56:55.656000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Недогрев ГВС,EDC,2022-08-30 09:49:28.000000,2022-08-30 18:31:27.531000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Отсутствие ГВС в доме,EDC,2022-09-04 14:46:49.000000,2022-09-04 17:49:41.031000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Протечка в подъезде,EDC,2022-09-02 14:16:28.000000,2022-09-02 15:12:17.018000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Отсутствие ГВС в доме,EDC,2022-09-01 10:03:16.000000,2022-09-01 11:49:51.587000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Недогрев ГВС,EDC,2022-09-03 08:48:41.000000,2022-09-03 11:35:52.790000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Повреждение элементов входной двери,EDC,2022-09-01 14:01:44.000000,2022-09-02 09:20:58.788000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Отсутствие ГВС в доме,EDC,2022-09-04 18:46:07.000000,2022-09-04 23:35:24.108000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Протечка в подъезде,EDC,2022-09-02 14:35:46.000000,2022-09-02 16:35:34.615000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Протечка в подъезде,EDC,2022-09-02 15:36:29.000000,2022-09-02 16:35:37.497000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
Недогрев ГВС,EDC,2022-09-06 17:40:56.000000,2022-09-07 10:56:56.845000,ВАО,"внутригородская территория муниципальный округ Гольяново, Сахалинская улица, дом 6, корпус 1",22750,
